Activator,Donor,Pd Source,Ligand,Solvent,Ligand (mol%),12 h yield (%)
TMSOK,DVDS,Pd(dba)2,dppbO,DMF,0.5,16
TMSOK,DMVSOEt,APC,PPh3,Dioxane,0.5,4
CsOH,DMVSOEt,Pd(dba)2,AsPh3,Dioxane,1,44
CsOH,D4V,APC,AsPh3,Dioxane,0.5,10
TMSOK,DVDS,Pd(dba)2,AsPh3,Dioxane,0.5,27
TMSOK,D4V,Pd(dba)2,dppbO2,Dioxane,0.5,21
TMSOK,DMVSOEt,Pd(dba)2,dppb,DMF,0,89
TMSOK,DMVSOEt,Pd(dba)2,dppbO,THF,1,31
TMSOK,DMVSOEt,Pd(dba)2,PPh3,DMF,1,14
TMSOK,HVDS,Pd(dba)2,AsPh3,DMF,0,52
TMSOK,D4V,Pd(dba)2,dppb,THF,0.5,8
CsOH,D4V,APC,AsPh3,Dioxane,1,9
TMSOK,D4V,APC,dppbO2,DMF,1,38
TMSOK,HVDS,APC,dppb,THF,0,77
CsOH,HVDS,Pd(dba)2,dppbO2,Dioxane,0.5,20
TMSOK,DVDS,APC,dppbO2,DMF,1,68
TMSOK,HVDS,APC,dppbO2,THF,0,43
TMSOK,D4V,APC,PPh3,DMF,0,52
CsOH,DVDS,Pd(dba)2,dppb,Dioxane,0.5,3
CsOH,D4V,Pd(dba)2,PPh3,DMF,0.5,12
TMSOK,HVDS,APC,dppb,THF,0.5,25
TMSOK,HVDS,Pd(dba)2,dppb,DMF,0.5,27
TMSOK,DVDS,APC,AsPh3,THF,0,47
CsOH,D4V,Pd(dba)2,dppbO,Dioxane,0,11
TMSOK,DVDS,APC,dppbO,Dioxane,1,18
TMSOK,HVDS,Pd(dba)2,dppbO,DMF,0,85
CsOH,D4V,Pd(dba)2,AsPh3,THF,0.5,15
CsOH,D4V,Pd(dba)2,dppbO2,Dioxane,0.5,12
TMSOK,D4V,Pd(dba)2,dppbO,THF,0,14
TMSOK,D4V,APC,PPh3,THF,1,29
TMSOK,DVDS,APC,dppbO,DMF,0,86
TMSOK,DVDS,APC,dppb,THF,0,35
CsOH,D4V,Pd(dba)2,AsPh3,Dioxane,0,19
TMSOK,D4V,Pd(dba)2,AsPh3,Dioxane,0.5,21
TMSOK,DMVSOEt,APC,AsPh3,THF,1,71
TMSOK,DMVSOEt,APC,dppb,Dioxane,1,25
TMSOK,HVDS,APC,PPh3,DMF,1,52
TMSOK,DMVSOEt,Pd(dba)2,PPh3,THF,0.5,17
CsOH,DVDS,Pd(dba)2,AsPh3,DMF,0.5,72
TMSOK,HVDS,APC,dppbO2,DMF,0.5,98
TMSOK,HVDS,Pd(dba)2,PPh3,Dioxane,0.5,11
TMSOK,DVDS,APC,dppbO2,Dioxane,0.5,27
TMSOK,DVDS,APC,PPh3,DMF,0.5,53
CsOH,DVDS,APC,dppb,DMF,1,2
CsOH,D4V,Pd(dba)2,dppb,Dioxane,1,0
CsOH,DVDS,Pd(dba)2,AsPh3,Dioxane,0.5,30
CsOH,D4V,Pd(dba)2,PPh3,Dioxane,0.5,4
CsOH,D4V,APC,AsPh3,Dioxane,0.5,13
TMSOK,DMVSOEt,Pd(dba)2,PPh3,THF,0,53
CsOH,DVDS,Pd(dba)2,AsPh3,THF,0.5,22
CsOH,DVDS,APC,dppbO2,THF,0.5,35
CsOH,DVDS,Pd(dba)2,PPh3,Dioxane,0.5,21
TMSOK,HVDS,Pd(dba)2,AsPh3,THF,0.5,70
TMSOK,D4V,Pd(dba)2,AsPh3,Dioxane,1,31
CsOH,D4V,Pd(dba)2,dppbO,Dioxane,0.5,4
TMSOK,D4V,APC,dppb,DMF,1,3
TMSOK,DMVSOEt,Pd(dba)2,AsPh3,Dioxane,0.5,48
TMSOK,DMVSOEt,APC,dppbO2,Dioxane,1,41
TMSOK,HVDS,APC,dppbO,DMF,1,31
TMSOK,D4V,Pd(dba)2,dppbO,Dioxane,0.5,8
CsOH,D4V,Pd(dba)2,dppbO,Dioxane,1,2
CsOH,DMVSOEt,APC,AsPh3,Dioxane,1,28
CsOH,D4V,Pd(dba)2,dppbO,THF,1,8
TMSOK,DMVSOEt,APC,dppbO2,THF,0,85
TMSOK,DMVSOEt,Pd(dba)2,dppbO2,Dioxane,1,25
CsOH,HVDS,APC,dppb,THF,1,10
TMSOK,D4V,Pd(dba)2,dppb,Dioxane,0,30
CsOH,HVDS,APC,AsPh3,Dioxane,0.5,22
TMSOK,DMVSOEt,APC,dppbO2,DMF,0,85
TMSOK,HVDS,Pd(dba)2,dppbO2,Dioxane,0,63
CsOH,D4V,APC,AsPh3,THF,0.5,12
CsOH,HVDS,APC,PPh3,THF,1,10
TMSOK,DVDS,APC,AsPh3,THF,1,30
TMSOK,HVDS,Pd(dba)2,PPh3,Dioxane,1,9
TMSOK,HVDS,Pd(dba)2,dppb,THF,1,5
CsOH,D4V,APC,AsPh3,DMF,0.5,8
CsOH,DMVSOEt,Pd(dba)2,AsPh3,THF,0,72
CsOH,D4V,APC,dppbO,DMF,0,27
TMSOK,HVDS,APC,dppb,DMF,0,78
TMSOK,DMVSOEt,APC,dppbO,DMF,0.5,32
CsOH,HVDS,APC,PPh3,Dioxane,0.5,16
TMSOK,DVDS,APC,PPh3,THF,0.5,65
CsOH,D4V,Pd(dba)2,PPh3,THF,0.5,11
TMSOK,HVDS,Pd(dba)2,dppbO2,THF,1,74
TMSOK,DMVSOEt,Pd(dba)2,dppbO2,THF,0.5,72
TMSOK,DVDS,Pd(dba)2,dppbO2,DMF,0,83
CsOH,D4V,APC,dppb,Dioxane,0.5,2
TMSOK,DMVSOEt,APC,dppbO,Dioxane,0,40
TMSOK,DVDS,Pd(dba)2,PPh3,Dioxane,0,93
CsOH,D4V,Pd(dba)2,AsPh3,DMF,1,24
TMSOK,DMVSOEt,APC,dppb,THF,1,1
CsOH,DVDS,Pd(dba)2,AsPh3,Dioxane,1,42
CsOH,D4V,Pd(dba)2,AsPh3,Dioxane,0.5,4
CsOH,DMVSOEt,Pd(dba)2,AsPh3,Dioxane,0.5,42
CsOH,DVDS,Pd(dba)2,dppbO,Dioxane,0.5,7
TMSOK,D4V,Pd(dba)2,AsPh3,DMF,0.5,82
CsOH,D4V,Pd(dba)2,dppb,Dioxane,0.5,2
TMSOK,DVDS,Pd(dba)2,dppbO2,THF,1,19
CsOH,DMVSOEt,Pd(dba)2,AsPh3,THF,1,37
CsOH,DMVSOEt,Pd(dba)2,AsPh3,THF,1,50
CsOH,DMVSOEt,Pd(dba)2,AsPh3,THF,1,31